time_s,shard_id,x_m,y_m,speed_mps,distance_to_bs_m,dwell_remaining_s
23,126,1080.17,951.12,5.74,23.06,49
23,176,789.88,817.82,5.68,297.48,57
24,126,1085.18,952.09,5.10,27.57,48
24,176,796.20,819.41,6.52,291.05,56
25,126,1092.32,953.64,7.30,34.36,47
25,176,802.71,821.04,6.71,284.43,55
26,126,1100.52,955.47,8.40,42.40,46
26,176,809.75,822.81,7.25,277.29,54
27,126,1108.29,957.36,8.00,50.19,45
27,176,815.80,824.33,6.24,271.14,53
28,126,1115.48,959.19,7.42,57.49,44
28,176,821.69,825.81,6.08,265.16,52
29,126,1123.48,961.25,8.26,65.64,43
29,176,828.75,827.59,7.28,258.00,51
30,126,1130.95,963.18,7.72,73.29,42
30,176,834.62,829.06,6.05,252.06,50
31,126,1139.06,965.29,8.38,81.60,41
31,176,841.63,830.83,7.23,244.96,49
32,35,1292.08,743.68,13.53,298.92,19
32,126,1146.39,968.85,8.19,89.73,40
32,176,848.08,832.45,6.65,238.45,48
33,35,1287.40,756.17,13.35,287.38,18
33,126,1153.07,972.51,7.62,97.29,39
33,176,854.91,834.17,7.04,231.55,47
34,35,1282.56,769.09,13.79,275.62,17
34,126,1159.65,976.92,7.93,105.07,38
34,176,861.21,835.76,6.50,225.20,46
35,35,1278.12,780.93,12.65,265.01,16
35,126,1165.99,981.19,7.64,112.58,37
35,176,867.43,837.32,6.42,218.92,45
36,35,1273.46,793.40,13.31,254.05,15
36,126,1172.93,985.12,7.98,120.52,36
36,176,873.57,838.87,6.33,212.75,44
37,35,1269.00,805.30,12.70,243.81,14
37,126,1179.35,988.63,7.32,127.81,35
37,176,880.59,840.63,7.23,205.71,43
38,35,1264.56,817.17,12.68,233.83,13
38,126,1186.52,992.56,8.17,135.97,34
38,176,886.73,842.18,6.33,199.55,42
39,35,1261.60,825.08,8.44,227.33,12
39,126,1193.86,996.58,8.37,144.32,33
39,176,892.99,843.75,6.46,193.29,41
40,35,1259.92,829.59,4.82,223.69,11
40,41,903.97,692.08,12.45,290.94,37
40,126,1200.82,999.44,7.54,151.84,32
40,176,899.57,845.41,6.78,186.72,40
41,35,1258.84,833.62,4.18,220.84,10
41,41,904.79,705.51,13.45,279.33,36
41,126,1207.98,1002.32,7.72,159.55,31
41,176,905.42,846.88,6.03,180.90,39
42,35,1260.19,839.40,6.22,219.45,9
42,41,906.87,713.93,8.95,271.23,35
42,126,1214.86,1005.09,7.41,166.95,30
42,176,911.19,848.63,6.03,175.02,38
43,35,1266.51,843.48,7.66,223.43,8
43,41,914.52,718.18,8.91,263.38,34
43,126,1221.81,1007.19,7.27,174.15,29
43,176,915.19,852.84,6.02,169.46,37
44,35,1275.36,846.87,9.48,230.19,7
44,41,923.88,720.36,9.62,256.38,33
44,126,1225.93,1008.34,4.28,178.38,28
44,176,915.93,859.07,6.29,165.85,36
45,35,1286.50,851.12,11.92,238.96,6
45,41,935.03,723.30,11.54,247.98,32
45,126,1231.43,1010.59,5.99,184.32,27
45,133,948.73,1205.76,11.56,293.23,58
45,176,916.51,867.07,8.02,161.77,35
46,35,1298.35,855.64,12.69,248.60,5
46,41,948.33,726.82,13.76,238.30,31
46,126,1233.76,1017.10,7.32,189.16,26
46,133,947.98,1195.11,10.68,283.76,57
46,176,917.10,875.11,8.05,157.99,34
47,35,1310.38,860.23,12.87,258.63,4
47,41,961.61,730.32,13.73,229.05,30
47,126,1233.24,1024.72,7.63,192.09,25
47,133,947.17,1183.78,11.36,273.78,56
47,176,917.38,878.88,3.78,156.32,33
48,35,1322.44,864.81,12.90,268.95,3
48,41,974.95,733.94,13.82,220.14,29
48,126,1232.63,1032.47,7.78,195.28,24
48,133,946.41,1173.09,10.71,264.47,55
48,176,917.48,880.06,1.19,155.80,32
49,35,1334.17,869.67,12.70,279.09,2
49,41,988.76,737.90,14.37,211.29,28
49,126,1231.77,1039.83,7.41,198.30,23
49,133,945.63,1162.20,10.92,255.10,54
49,176,917.76,883.52,3.47,154.33,31
50,35,1345.94,875.87,13.35,289.20,1
50,41,1002.86,741.68,14.60,203.13,27
50,126,1230.31,1047.62,7.92,201.28,22
50,133,944.82,1150.71,11.52,245.34,53
50,176,918.23,889.22,5.73,152.06,30
51,35,1356.86,883.22,13.17,298.50,0
51,41,1016.81,745.60,14.49,195.64,26
51,126,1228.28,1055.83,8.47,204.32,21
51,133,944.04,1139.73,11.01,236.17,52
51,174,842.52,734.47,6.87,298.52,18
51,176,918.83,896.66,7.47,149.37,29
52,41,1030.72,749.68,14.50,188.81,25
52,126,1226.07,1063.58,8.05,207.22,20
52,133,943.24,1128.51,11.25,226.97,51
52,174,849.30,736.28,7.02,292.30,17
52,176,919.50,905.74,9.10,146.60,28
53,41,1043.73,753.52,13.57,183.20,24
53,126,1223.94,1071.03,7.75,210.26,19
53,133,942.45,1117.38,11.15,218.04,50
53,174,853.47,737.40,4.31,288.50,16
53,176,920.35,916.24,10.53,143.98,27
54,41,1057.24,757.52,14.09,178.28,23
54,49,1348.94,874.02,14.17,292.51,20
54,126,1221.86,1078.31,7.57,213.47,18
54,133,941.66,1106.23,11.18,209.29,49
54,174,859.73,739.08,6.48,282.81,15
54,176,921.29,928.18,11.98,141.91,26
55,41,1070.17,761.36,13.49,174.50,22
55,49,1335.98,866.97,14.80,281.50,19
55,126,1219.71,1085.82,7.82,217.00,17
55,133,940.86,1095.08,11.17,200.79,48
55,174,866.44,740.89,6.95,276.76,14
55,176,922.31,940.23,12.10,140.77,25
56,41,1083.72,765.38,14.14,171.59,21
56,49,1321.91,861.18,15.22,269.42,18
56,126,1217.19,1093.33,7.92,220.49,16
56,133,940.10,1084.39,10.72,192.90,47
56,174,873.12,742.71,6.93,270.75,13
56,176,923.29,952.29,12.10,140.70,24
57,41,1097.41,769.45,14.28,169.79,20
57,49,1308.15,855.95,14.72,257.80,17
57,126,1214.53,1100.27,7.44,223.70,15
57,133,939.30,1073.63,10.78,185.27,46
57,174,879.71,744.50,6.82,264.88,12
57,176,924.20,963.88,11.63,141.64,23
58,41,1110.83,773.43,14.00,169.18,19
58,49,1293.82,850.49,15.34,246.04,16
58,126,1211.72,1107.63,7.88,227.31,14
58,133,938.45,1062.90,10.76,178.02,45
58,174,885.73,746.14,6.24,259.54,11
58,176,925.10,975.47,11.63,143.52,22
59,41,1124.14,777.49,13.91,169.62,18
59,49,1281.46,845.79,13.23,236.24,15
59,126,1208.79,1115.25,8.17,231.28,13
59,133,937.57,1052.10,10.83,171.12,44
59,148,915.97,859.61,0.00,165.56,34
59,174,891.69,747.77,6.18,254.31,10
59,176,925.97,986.48,11.05,146.14,21
60,41,1136.58,783.10,13.66,169.42,17
60,49,1273.31,842.66,8.73,229.97,14
60,126,1206.15,1122.14,7.38,235.05,12
60,133,936.69,1041.47,10.66,164.74,43
60,148,916.11,861.54,1.93,164.56,33
60,174,898.26,749.56,6.82,248.58,9
60,176,926.83,997.98,11.52,149.74,20
61,41,1149.39,789.54,14.34,169.78,16
61,42,1353.57,877.14,13.27,296.41,50
61,49,1269.33,841.13,4.27,226.96,13
61,126,1203.33,1129.51,7.89,239.27,11
61,133,935.77,1030.26,11.25,158.52,42
61,148,916.38,865.18,3.65,162.71,32
61,174,903.60,750.59,5.45,244.30,8
61,176,927.65,1009.29,11.34,154.06,19
62,41,1161.86,795.82,13.96,171.29,15
62,42,1342.06,869.67,13.73,286.76,49
62,49,1268.14,840.68,1.27,226.07,12
62,126,1200.61,1136.56,7.56,243.47,10
62,133,934.84,1019.01,11.29,152.85,41
62,148,916.80,870.96,5.80,159.90,31
62,174,908.52,748.23,5.95,242.93,7
62,176,928.63,1021.37,12.12,159.36,18
63,41,1174.41,801.68,13.84,174.28,14
63,42,1329.82,864.38,13.35,276.18,48
63,49,1267.58,840.46,0.60,225.66,11
63,126,1197.46,1143.98,8.06,247.90,9
63,133,933.95,1007.86,11.20,147.85,40
63,148,917.22,876.71,5.77,157.27,30
63,174,909.72,741.78,6.68,247.19,6
63,176,929.59,1033.03,11.70,165.14,17
64,41,1187.69,807.38,14.46,178.93,13
64,42,1317.17,859.38,13.60,265.38,47
64,49,1267.27,840.35,0.33,225.43,10
64,126,1194.43,1151.10,7.73,252.32,8
64,133,933.10,996.01,11.87,143.22,39
64,148,917.48,880.05,3.34,155.81,29
64,174,909.36,735.34,6.46,252.50,5
64,176,930.53,1044.51,11.52,171.43,16
65,41,1201.07,812.92,14.49,184.77,12
